ID,Level,Category,Content,Type,Image ,,,,,
191,Beginner,Emotions,kind,word,file:///D:/jdk/FYP/Dataset_images/100-200/kind.svg,,,,,
192,Beginner,Emotions,gentle,word,file:///D:/jdk/FYP/Dataset_images/100-200/gentle.svg,,,,,
193,Beginner,Emotions,thankful,word,file:///D:/jdk/FYP/Dataset_images/100-200/thankful.svg,,,,,
194,Beginner,Emotions,brave,word,file:///D:/jdk/FYP/Dataset_images/100-200/brave.svg,,,,,
195,Beginner,Emotions,hurt,word,file:///D:/jdk/FYP/Dataset_images/100-200/hurt.svg,,,,,
196,Beginner,Emotions,embarrassed,word,file:///D:/jdk/FYP/Dataset_images/100-200/embarrassed.svg,,,,,
197,Beginner,Emotions,jealous,word,file:///D:/jdk/FYP/Dataset_images/100-200/Jealousy-in-Children.svg,,,,,
198,Beginner,Emotions,guilty,word,file:///D:/jdk/FYP/Dataset_images/100-200/guilty.svg,,,,,
199,Beginner,Emotions,lonely,word,file:///D:/jdk/FYP/Dataset_images/100-200/lonely.svg,,,,,
200,Beginner,Emotions,relieved,word,file:///D:/jdk/FYP/Dataset_images/100-200/relieved.svg,,,,,
201,Beginner,Emotions,hopeful,word,file:///D:/jdk/FYP/Dataset_images/100-200/hopeful.svg,,,,,
202,Intermediate,Personal Care and Hygiene,Wash hands,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/WASH%20MY%20HAND.svg,,,,,
203,Intermediate,Personal Care and Hygiene,Brush teeth,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/brush%20teeths.svg,,,,,
204,Intermediate,Personal Care and Hygiene,Use bathroom,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/USE%20THE%20BATHROOM.svg,,,,,
205,Intermediate,Personal Care and Hygiene,Tie shoes,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/tie%20my%20shoes.svg,,,,,
206,Intermediate,Personal Care and Hygiene,Put on jacket,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/put%20on%20jackytet.svg,,,,,
207,Intermediate,Feelings and Emotions,I am happy.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20am%20happy.svg,,,,,
208,Intermediate,Feelings and Emotions,I am sad.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20am%20sad.svg,,,,,
209,Intermediate,Feelings and Emotions,I feel excited.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20feel%20excited.svg,,,,,
210,Intermediate,Feelings and Emotions,I am angry.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20am%20angry.svg,,,,,
211,Intermediate,Feelings and Emotions,I feel scared.,Phrase,,,,,,
212,Intermediate,Daily Routine and Activities,It is  time to eat.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/it%20is%20time%20to%20esat.svg,,,,,
213,Intermediate,Daily Routine and Activities,Let's go outside.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/lets%20gomoutside.svg,,,,,
214,Intermediate,Daily Routine and Activities,It is  time for bed.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/it%20is%20time%204%20bed.svg,,,,,
215,Intermediate,Daily Routine and Activities,I need to do my homework.,Phrase,,,,,,
216,Intermediate,Daily Routine and Activities,It is time to play.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/it%20is%20time%20to%20play.svg,,,,,
217,Intermediate,Requests and Needs,Can I have some water?,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/can%20i%20have%20some%20water.svg,,,,,
218,Intermediate,Requests and Needs,Please help me.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/please%20help%20me.svg,,,,,
219,Intermediate,Requests and Needs,I need my toy.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20need%20my%20toy.svg,,,,,
220,Intermediate,Requests and Needs,Can I have a snack?,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/can%20I%20have%20a%20snack.svg,,,,,
221,Intermediate,Requests and Needs,I want to watch TV.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20want%20ot%20cth%20tv.svg,,,,,
222,Intermediate,Social Interaction,Can I play with you?,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/it%20is%20time%20to%20play.svg,,,,,
223,Intermediate,Social Interaction,I like your toy.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/_like%20toy.svg,,,,,
224,Intermediate,Social Interaction,Can we be friends?,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/can%20v%20b%20frens.svg,,,,,
225,Intermediate,Social Interaction,I want to talk.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20want%20to%20talk.svg,,,,,
226,Intermediate,Social Interaction,I am here to listen.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/im%20hdre%202%20listen.svg,,,,,
227,Intermediate,Safety and Boundaries,Do not  touch that.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/dont%20touvh%20it.svg,,,,,
